Comunidades y Ciudades Autónomas;Sectores de actividad;Tipo de indicador;Componentes del coste;Periodo;Total
01 Andalucía;Industria;Valor absoluto;Sueldos y salarios;2023;25.915,32
01 Andalucía;Industria;Valor absoluto;Sueldos y salarios;2022;25.069,75
01 Andalucía;Industria;Valor absoluto;Sueldos y salarios;2021;23.746,67
01 Andalucía;Industria;Valor absoluto;Sueldos y salarios;2020;22.426,66
01 Andalucía;Industria;Valor absoluto;Sueldos y salarios;2019;23.548,70
01 Andalucía;Industria;Valor absoluto;Sueldos y salarios;2018;24.335,01
01 Andalucía;Construcción;Valor absoluto;Sueldos y salarios;2023;23.315,53
01 Andalucía;Construcción;Valor absoluto;Sueldos y salarios;2022;21.947,51
01 Andalucía;Construcción;Valor absoluto;Sueldos y salarios;2021;21.553,41
01 Andalucía;Construcción;Valor absoluto;Sueldos y salarios;2020;21.692,75
01 Andalucía;Construcción;Valor absoluto;Sueldos y salarios;2019;20.905,48
01 Andalucía;Construcción;Valor absoluto;Sueldos y salarios;2018;20.853,79
01 Andalucía;Servicios;Valor absoluto;Sueldos y salarios;2023;23.090,31
01 Andalucía;Servicios;Valor absoluto;Sueldos y salarios;2022;21.950,78
01 Andalucía;Servicios;Valor absoluto;Sueldos y salarios;2021;20.852,29
01 Andalucía;Servicios;Valor absoluto;Sueldos y salarios;2020;19.934,47
01 Andalucía;Servicios;Valor absoluto;Sueldos y salarios;2019;20.028,18
01 Andalucía;Servicios;Valor absoluto;Sueldos y salarios;2018;19.438,66
02 Aragón;Industria;Valor absoluto;Sueldos y salarios;2023;29.172,17
02 Aragón;Industria;Valor absoluto;Sueldos y salarios;2022;27.143,24
02 Aragón;Industria;Valor absoluto;Sueldos y salarios;2021;26.162,80
02 Aragón;Industria;Valor absoluto;Sueldos y salarios;2020;24.676,51
02 Aragón;Industria;Valor absoluto;Sueldos y salarios;2019;27.165,98
02 Aragón;Industria;Valor absoluto;Sueldos y salarios;2018;26.716,39
02 Aragón;Construcción;Valor absoluto;Sueldos y salarios;2023;27.526,41
02 Aragón;Construcción;Valor absoluto;Sueldos y salarios;2022;25.983,62
