Comunidades_Autonomas,Sector,Tipo_Coste,Periodo,Total
Andalucía,Industria,Gastos en transporte,2023,22.59
Andalucía,Industria,Gastos en transporte,2022,19.65
Andalucía,Industria,Gastos en transporte,2021,17.36
Andalucía,Industria,Gastos en transporte,2020,17.02
Andalucía,Industria,Gastos en transporte,2019,22.43
Andalucía,Industria,Gastos en transporte,2018,37.15
Andalucía,Construcción,Gastos en transporte,2023,13.38
Andalucía,Construcción,Gastos en transporte,2022,10.46
Andalucía,Construcción,Gastos en transporte,2021,19.24
Andalucía,Construcción,Gastos en transporte,2020,24.79
Andalucía,Construcción,Gastos en transporte,2019,44.15
Andalucía,Construcción,Gastos en transporte,2018,21.25
Andalucía,Servicios,Gastos en transporte,2023,3.01
Andalucía,Servicios,Gastos en transporte,2022,1.84
Andalucía,Servicios,Gastos en transporte,2021,2.14
Andalucía,Servicios,Gastos en transporte,2020,2.71
Andalucía,Servicios,Gastos en transporte,2019,3.25
Andalucía,Servicios,Gastos en transporte,2018,3.39
Aragón,Industria,Gastos en transporte,2023,99.52
Aragón,Industria,Gastos en transporte,2022,105.24
Aragón,Industria,Gastos en transporte,2021,136.68
Aragón,Industria,Gastos en transporte,2020,110.53
Aragón,Industria,Gastos en transporte,2019,104.94
Aragón,Industria,Gastos en transporte,2018,109.99
Aragón,Construcción,Gastos en transporte,2023,10.28
Aragón,Construcción,Gastos en transporte,2022,3.76
Aragón,Construcción,Gastos en transporte,2021,15.5
Aragón,Construcción,Gastos en transporte,2020,9.52
Aragón,Construcción,Gastos en transporte,2019,20.0
Aragón,Construcción,Gastos en transporte,2018,5.97
Aragón,Servicios,Gastos en transporte,2023,4.17
Aragón,Servicios,Gastos en transporte,2022,7.71
Aragón,Servicios,Gastos en transporte,2021,8.43
Aragón,Servicios,Gastos en transporte,2020,4.5
Aragón,Servicios,Gastos en transporte,2019,29.3
Aragón,Servicios,Gastos en transporte,2018,13.14
"Asturias, Principado de",Industria,Gastos en transporte,2023,3.3
"Asturias, Principado de",Industria,Gastos en transporte,2022,4.32
"Asturias, Principado de",Industria,Gastos en transporte,2021,45.53
"Asturias, Principado de",Industria,Gastos en transporte,2020,46.54
"Asturias, Principado de",Industria,Gastos en transporte,2019,13.66
"Asturias, Principado de",Industria,Gastos en transporte,2018,13.85
"Asturias, Principado de",Construcción,Gastos en transporte,2023,34.36
"Asturias, Principado de",Construcción,Gastos en transporte,2022,2.32
"Asturias, Principado de",Construcción,Gastos en transporte,2021,10.25
"Asturias, Principado de",Construcción,Gastos en transporte,2020,46.84
"Asturias, Principado de",Construcción,Gastos en transporte,2019,89.12
"Asturias, Principado de",Construcción,Gastos en transporte,2018,23.02
"Asturias, Principado de",Servicios,Gastos en transporte,2023,0.94
"Asturias, Principado de",Servicios,Gastos en transporte,2022,0.87
"Asturias, Principado de",Servicios,Gastos en transporte,2021,0.46
"Asturias, Principado de",Servicios,Gastos en transporte,2020,1.46
"Asturias, Principado de",Servicios,Gastos en transporte,2019,2.44
"Asturias, Principado de",Servicios,Gastos en transporte,2018,2.08
"Balears, Illes",Industria,Gastos en transporte,2023,0.67
"Balears, Illes",Industria,Gastos en transporte,2022,0.3
"Balears, Illes",Industria,Gastos en transporte,2021,1.51
"Balears, Illes",Industria,Gastos en transporte,2020,0.16
"Balears, Illes",Industria,Gastos en transporte,2019,0.91
"Balears, Illes",Industria,Gastos en transporte,2018,0.54
"Balears, Illes",Construcción,Gastos en transporte,2023,0.0
"Balears, Illes",Construcción,Gastos en transporte,2022,2.49
"Balears, Illes",Construcción,Gastos en transporte,2021,1.72
"Balears, Illes",Construcción,Gastos en transporte,2020,0.84
"Balears, Illes",Construcción,Gastos en transporte,2019,6.18
"Balears, Illes",Construcción,Gastos en transporte,2018,7.1
"Balears, Illes",Servicios,Gastos en transporte,2023,2.01
"Balears, Illes",Servicios,Gastos en transporte,2022,1.51
"Balears, Illes",Servicios,Gastos en transporte,2021,1.77
"Balears, Illes",Servicios,Gastos en transporte,2020,1.7
"Balears, Illes",Servicios,Gastos en transporte,2019,2.39
"Balears, Illes",Servicios,Gastos en transporte,2018,3.05
Canarias,Industria,Gastos en transporte,2023,0.42
Canarias,Industria,Gastos en transporte,2022,0.63
Canarias,Industria,Gastos en transporte,2021,0.66
Canarias,Industria,Gastos en transporte,2020,14.16
Canarias,Industria,Gastos en transporte,2019,3.12
Canarias,Industria,Gastos en transporte,2018,10.33
Canarias,Construcción,Gastos en transporte,2023,7.41
Canarias,Construcción,Gastos en transporte,2022,6.15
Canarias,Construcción,Gastos en transporte,2021,17.62
Canarias,Construcción,Gastos en transporte,2020,0.1
Canarias,Construcción,Gastos en transporte,2019,4.84
Canarias,Construcción,Gastos en transporte,2018,2.02
Canarias,Servicios,Gastos en transporte,2023,4.28
Canarias,Servicios,Gastos en transporte,2022,2.54
Canarias,Servicios,Gastos en transporte,2021,2.41
Canarias,Servicios,Gastos en transporte,2020,2.65
Canarias,Servicios,Gastos en transporte,2019,3.18
Canarias,Servicios,Gastos en transporte,2018,5.87
Cantabria,Industria,Gastos en transporte,2023,24.35
Cantabria,Industria,Gastos en transporte,2022,15.83
Cantabria,Industria,Gastos en transporte,2021,21.17
Cantabria,Industria,Gastos en transporte,2020,14.32
Cantabria,Industria,Gastos en transporte,2019,18.0
Cantabria,Industria,Gastos en transporte,2018,24.52
Cantabria,Construcción,Gastos en transporte,2023,12.95
Cantabria,Construcción,Gastos en transporte,2022,35.15
Cantabria,Construcción,Gastos en transporte,2021,25.86
Cantabria,Construcción,Gastos en transporte,2020,40.4
Cantabria,Construcción,Gastos en transporte,2019,68.4
Cantabria,Construcción,Gastos en transporte,2018,51.34
Cantabria,Servicios,Gastos en transporte,2023,1.31
Cantabria,Servicios,Gastos en transporte,2022,1.97
Cantabria,Servicios,Gastos en transporte,2021,0.49
Cantabria,Servicios,Gastos en transporte,2020,0.97
Cantabria,Servicios,Gastos en transporte,2019,1.15
Cantabria,Servicios,Gastos en transporte,2018,5.92
Castilla y León,Industria,Gastos en transporte,2023,48.03
Castilla y León,Industria,Gastos en transporte,2022,43.33
Castilla y León,Industria,Gastos en transporte,2021,53.1
Castilla y León,Industria,Gastos en transporte,2020,50.45
Castilla y León,Industria,Gastos en transporte,2019,48.47
Castilla y León,Industria,Gastos en transporte,2018,50.65
Castilla y León,Construcción,Gastos en transporte,2023,8.39
Castilla y León,Construcción,Gastos en transporte,2022,17.72
Castilla y León,Construcción,Gastos en transporte,2021,20.73
Castilla y León,Construcción,Gastos en transporte,2020,64.17
Castilla y León,Construcción,Gastos en transporte,2019,30.73
Castilla y León,Construcción,Gastos en transporte,2018,13.7
Castilla y León,Servicios,Gastos en transporte,2023,2.77
Castilla y León,Servicios,Gastos en transporte,2022,1.2
Castilla y León,Servicios,Gastos en transporte,2021,2.25
Castilla y León,Servicios,Gastos en transporte,2020,3.05
Castilla y León,Servicios,Gastos en transporte,2019,3.97
Castilla y León,Servicios,Gastos en transporte,2018,3.0
Castilla - La Mancha,Industria,Gastos en transporte,2023,22.14
Castilla - La Mancha,Industria,Gastos en transporte,2022,25.54
Castilla - La Mancha,Industria,Gastos en transporte,2021,21.21
Castilla - La Mancha,Industria,Gastos en transporte,2020,37.51
Castilla - La Mancha,Industria,Gastos en transporte,2019,41.53
Castilla - La Mancha,Industria,Gastos en transporte,2018,43.6
Castilla - La Mancha,Construcción,Gastos en transporte,2023,31.72
