Comunidades_Autonomas,Sector,Tipo_Coste,Periodo,Total
Andalucía,Industria,Sueldos y salarios,2023,"25.915,32"
Andalucía,Industria,Sueldos y salarios,2022,"25.069,75"
Andalucía,Industria,Sueldos y salarios,2021,"23.746,67"
Andalucía,Industria,Sueldos y salarios,2020,"22.426,66"
Andalucía,Industria,Sueldos y salarios,2019,"23.548,70"
Andalucía,Industria,Sueldos y salarios,2018,"24.335,01"
Andalucía,Construcción,Sueldos y salarios,2023,"23.315,53"
Andalucía,Construcción,Sueldos y salarios,2022,"21.947,51"
Andalucía,Construcción,Sueldos y salarios,2021,"21.553,41"
Andalucía,Construcción,Sueldos y salarios,2020,"21.692,75"
Andalucía,Construcción,Sueldos y salarios,2019,"20.905,48"
Andalucía,Construcción,Sueldos y salarios,2018,"20.853,79"
Andalucía,Servicios,Sueldos y salarios,2023,"23.090,31"
Andalucía,Servicios,Sueldos y salarios,2022,"21.950,78"
Andalucía,Servicios,Sueldos y salarios,2021,"20.852,29"
Andalucía,Servicios,Sueldos y salarios,2020,"19.934,47"
Andalucía,Servicios,Sueldos y salarios,2019,"20.028,18"
Andalucía,Servicios,Sueldos y salarios,2018,"19.438,66"
Aragón,Industria,Sueldos y salarios,2023,"29.172,17"
Aragón,Industria,Sueldos y salarios,2022,"27.143,24"
Aragón,Industria,Sueldos y salarios,2021,"26.162,80"
Aragón,Industria,Sueldos y salarios,2020,"24.676,51"
Aragón,Industria,Sueldos y salarios,2019,"27.165,98"
Aragón,Industria,Sueldos y salarios,2018,"26.716,39"
Aragón,Construcción,Sueldos y salarios,2023,"27.526,41"
Aragón,Construcción,Sueldos y salarios,2022,"25.983,62"
Aragón,Construcción,Sueldos y salarios,2021,"24.657,15"
Aragón,Construcción,Sueldos y salarios,2020,"24.143,93"
Aragón,Construcción,Sueldos y salarios,2019,"23.397,80"
Aragón,Construcción,Sueldos y salarios,2018,"23.471,18"
Aragón,Servicios,Sueldos y salarios,2023,"24.359,48"
Aragón,Servicios,Sueldos y salarios,2022,"23.118,43"
Aragón,Servicios,Sueldos y salarios,2021,"22.224,45"
