AÑO,Comunidad autónoma,Ocupados,Parados,Inactivos,Total Actividad,Sector,Gastos en transporte unitarios,Gasto total en transporte,Sueldos y salarios unitarios,Sueldos y salarios totales
2018,Andalucía,3030750.0,904625.0,2983100.0,6918475.0,Industria,37.15,112592362.5,24335.01,73753331557.5
2018,Andalucía,3030750.0,904625.0,2983100.0,6918475.0,Construcción,21.25,64403437.5,20853.79,63202624042.5
2018,Andalucía,3030750.0,904625.0,2983100.0,6918475.0,Servicios,3.39,10274242.5,19438.66,58913718795.0
2018,Aragón,573825.0,68250.0,452275.0,1094350.0,Industria,109.99,63115011.75,26716.39,15330532491.75
2018,Aragón,573825.0,68250.0,452275.0,1094350.0,Construcción,5.97,3425735.25,23471.18,13468349863.5
2018,Aragón,573825.0,68250.0,452275.0,1094350.0,Servicios,13.14,7540060.5,20299.35,11648274513.75
2018,"Asturias, Principado de",391900.0,61750.0,439825.0,893475.0,Industria,13.85,5427815.0,29893.4,11715223460.0
2018,"Asturias, Principado de",391900.0,61750.0,439825.0,893475.0,Construcción,23.02,9021538.0,25204.61,9877686659.0
2018,"Asturias, Principado de",391900.0,61750.0,439825.0,893475.0,Servicios,2.08,815152.0,21858.5,8566346150.0
2018,"Balears, Illes",560175.0,72925.0,349600.0,982700.0,Industria,0.54,302494.5,23122.97,12952909719.75
2018,"Balears, Illes",560175.0,72925.0,349600.0,982700.0,Construcción,7.1,3977242.5,21153.76,11849807508.0
2018,"Balears, Illes",560175.0,72925.0,349600.0,982700.0,Servicios,3.05,1708533.75,22482.52,12594145641.0
2018,Canarias,897200.0,225325.0,735800.0,1858325.0,Industria,10.33,9268076.0,21904.65,19652851980.0
2018,Canarias,897200.0,225325.0,735800.0,1858325.0,Construcción,2.02,1812344.0,19374.72,17382998784.0
2018,Canarias,897200.0,225325.0,735800.0,1858325.0,Servicios,5.87,5266564.0,19361.08,17370760976.0
2018,Cantabria,240975.0,28800.0,222375.0,492150.0,Industria,24.52,5908707.0,26921.7,6487456657.5
2018,Cantabria,240975.0,28800.0,222375.0,492150.0,Construcción,51.34,12371656.5,21245.41,5119612674.75
2018,Cantabria,240975.0,28800.0,222375.0,492150.0,Servicios,5.92,1426572.0,20978.21,5055224154.75
2018,Castilla - La Mancha,804975.0,178625.0,690175.0,1673775.0,Industria,43.6,35096910.0,23460.37,18885011340.75
2018,Castilla - La Mancha,804975.0,178625.0,690175.0,1673775.0,Construcción,26.57,21388185.75,19581.21,15762384519.75
2018,Castilla - La Mancha,804975.0,178625.0,690175.0,1673775.0,Servicios,4.34,3493591.5,19299.63,15535719659.25
2018,Castilla y León,982775.0,135300.0,931875.0,2049950.0,Industria,50.65,49777553.75,24797.12,24369989608.0
2018,Castilla y León,982775.0,135300.0,931875.0,2049950.0,Construcción,13.7,13464017.5,21358.49,20990590009.75
2018,Castilla y León,982775.0,135300.0,931875.0,2049950.0,Servicios,3.0,2948325.0,19498.46,19162599026.5
2018,Cataluña,3362175.0,436450.0,2400625.0,6199250.0,Industria,31.4,105572295.0,30298.98,101870473081.5
2018,Cataluña,3362175.0,436450.0,2400625.0,6199250.0,Construcción,8.02,26964643.5,23726.72,79773384816.0
2018,Cataluña,3362175.0,436450.0,2400625.0,6199250.0,Servicios,3.69,12406425.75,23463.18,78887317216.5
2018,Comunitat Valenciana,2042875.0,377325.0,1713675.0,4133875.0,Industria,17.06,34851447.5,22981.21,46947739378.75
2018,Comunitat Valenciana,2042875.0,377325.0,1713675.0,4133875.0,Construcción,24.98,51031017.5,20552.0,41985167000.0
2018,Comunitat Valenciana,2042875.0,377325.0,1713675.0,4133875.0,Servicios,2.18,4453467.5,19861.78,40575133817.5
2018,Extremadura,378900.0,117275.0,400925.0,897100.0,Industria,3.09,1170801.0,20919.24,7926300036.000001
2018,Extremadura,378900.0,117275.0,400925.0,897100.0,Construcción,28.0,10609200.0,18377.78,6963340842.0
2018,Extremadura,378900.0,117275.0,400925.0,897100.0,Servicios,4.73,1792197.0000000002,18390.7,6968236230.0
2018,Galicia,1077625.0,165850.0,1090525.0,2334000.0,Industria,28.35,30550668.75,25008.11,26949364538.75
2018,Galicia,1077625.0,165850.0,1090525.0,2334000.0,Construcción,55.09,59366361.25,21166.9,22809980612.5
2018,Galicia,1077625.0,165850.0,1090525.0,2334000.0,Servicios,2.22,2392327.5,19297.13,20795069716.25
2018,"Madrid, Comunidad de",2990900.0,416300.0,2010200.0,5417400.0,Industria,44.45,132945505.00000001,34955.36,104547986224.0
2018,"Madrid, Comunidad de",2990900.0,416300.0,2010200.0,5417400.0,Construcción,37.36,111740024.0,25709.84,76895560456.0
2018,"Madrid, Comunidad de",2990900.0,416300.0,2010200.0,5417400.0,Servicios,12.33,36877797.0,27023.9,80825782510.0
2018,"Murcia, Región de",592275.0,119225.0,488050.0,1199550.0,Industria,5.06,2996911.5,23046.09,13649622954.75
2018,"Murcia, Región de",592275.0,119225.0,488050.0,1199550.0,Construcción,15.99,9470477.25,19877.43,11772904853.25
2018,"Murcia, Región de",592275.0,119225.0,488050.0,1199550.0,Servicios,5.54,3281203.5,19569.73,11590661835.75
2018,"Navarra, Comunidad Foral de",282175.0,31425.0,217125.0,530725.0,Industria,36.82,10389683.5,28864.56,8144857218.0
2018,"Navarra, Comunidad Foral de",282175.0,31425.0,217125.0,530725.0,Construcción,0.0,0.0,24359.35,6873599586.25
2018,"Navarra, Comunidad Foral de",282175.0,31425.0,217125.0,530725.0,Servicios,4.41,1244391.75,23270.18,6566263041.5
2018,País Vasco,923525.0,102300.0,797075.0,1822900.0,Industria,71.61,66133625.25,33054.17,30526352349.25
2018,País Vasco,923525.0,102300.0,797075.0,1822900.0,Construcción,16.21,14970340.25,26981.33,24917932788.25
2018,País Vasco,923525.0,102300.0,797075.0,1822900.0,Servicios,8.22,7591375.500000001,25400.59,23458079879.75
2018,"Rioja, La",138025.0,16000.0,106375.0,260400.0,Industria,27.63,3813630.75,24022.91,3315762152.75
2018,"Rioja, La",138025.0,16000.0,106375.0,260400.0,Construcción,37.0,5106925.0,22421.99,3094795169.75
2018,"Rioja, La",138025.0,16000.0,106375.0,260400.0,Servicios,2.48,342302.0,19405.68,2678468982.0
2019,Andalucía,3119750.0,838675.0,3011225.0,6969650.0,Industria,22.43,69975992.5,23548.7,73466056825.0
2019,Andalucía,3119750.0,838675.0,3011225.0,6969650.0,Construcción,44.15,137736962.5,20905.48,65219871230.0
2019,Andalucía,3119750.0,838675.0,3011225.0,6969650.0,Servicios,3.25,10139187.5,20028.18,62482914555.0
