Año;Clase de población;Comunidades y Ciudades Autónomas;Teletrabajo;Total
2021;Personas ocupadas;01 Andalucía;Total;3.099.104
2021;Personas ocupadas;01 Andalucía;Han teletrabajado;12,8
2021;Personas ocupadas;01 Andalucía;No han teletrabajado aunque su trabajo les permitiría teletrabajar;18
2021;Personas ocupadas;01 Andalucía;No han teletrabajado porque su trabajo no les permitiría teletrabajar;69,2
2021;Personas ocupadas;01 Andalucía;No han teletrabajado;
2021;Personas ocupadas;02 Aragón;Total;562.131
2021;Personas ocupadas;02 Aragón;Han teletrabajado;12,5
2021;Personas ocupadas;02 Aragón;No han teletrabajado aunque su trabajo les permitiría teletrabajar;17,2
2021;Personas ocupadas;02 Aragón;No han teletrabajado porque su trabajo no les permitiría teletrabajar;70,3
2021;Personas ocupadas;02 Aragón;No han teletrabajado;
2021;Personas ocupadas;03 Asturias, Principado de;Total;376.537
2021;Personas ocupadas;03 Asturias, Principado de;Han teletrabajado;11,4
2021;Personas ocupadas;03 Asturias, Principado de;No han teletrabajado aunque su trabajo les permitiría teletrabajar;18,6
2021;Personas ocupadas;03 Asturias, Principado de;No han teletrabajado porque su trabajo no les permitiría teletrabajar;69,9
2021;Personas ocupadas;03 Asturias, Principado de;No han teletrabajado;
2021;Personas ocupadas;04 Balears, Illes;Total;529.381
2021;Personas ocupadas;04 Balears, Illes;Han teletrabajado;7,9
2021;Personas ocupadas;04 Balears, Illes;No han teletrabajado aunque su trabajo les permitiría teletrabajar;17,2
2021;Personas ocupadas;04 Balears, Illes;No han teletrabajado porque su trabajo no les permitiría teletrabajar;74,9
2021;Personas ocupadas;04 Balears, Illes;No han teletrabajado;
2021;Personas ocupadas;05 Canarias;Total;795.803
2021;Personas ocupadas;05 Canarias;Han teletrabajado;15,5
2021;Personas ocupadas;05 Canarias;No han teletrabajado aunque su trabajo les permitiría teletrabajar;14,5
2021;Personas ocupadas;05 Canarias;No han teletrabajado porque su trabajo no les permitiría teletrabajar;70
2021;Personas ocupadas;05 Canarias;No han teletrabajado;
2021;Personas ocupadas;06 Cantabria;Total;229.873
2021;Personas ocupadas;06 Cantabria;Han teletrabajado;6,6
2021;Personas ocupadas;06 Cantabria;No han teletrabajado aunque su trabajo les permitiría teletrabajar;20,6
2021;Personas ocupadas;06 Cantabria;No han teletrabajado porque su trabajo no les permitiría teletrabajar;72,8
2021;Personas ocupadas;06 Cantabria;No han teletrabajado;
