Comunidades_Autonomas,Sector,Tipo_Coste,Periodo,Total
01 Andalucía,Industria,Gastos en transporte,2023,22.59
01 Andalucía,Industria,Gastos en transporte,2022,19.65
01 Andalucía,Industria,Gastos en transporte,2021,17.36
01 Andalucía,Industria,Gastos en transporte,2020,17.02
01 Andalucía,Industria,Gastos en transporte,2019,22.43
01 Andalucía,Industria,Gastos en transporte,2018,37.15
01 Andalucía,Construcción,Gastos en transporte,2023,13.38
01 Andalucía,Construcción,Gastos en transporte,2022,10.46
01 Andalucía,Construcción,Gastos en transporte,2021,19.24
01 Andalucía,Construcción,Gastos en transporte,2020,24.79
01 Andalucía,Construcción,Gastos en transporte,2019,44.15
01 Andalucía,Construcción,Gastos en transporte,2018,21.25
01 Andalucía,Servicios,Gastos en transporte,2023,3.01
01 Andalucía,Servicios,Gastos en transporte,2022,1.84
01 Andalucía,Servicios,Gastos en transporte,2021,2.14
01 Andalucía,Servicios,Gastos en transporte,2020,2.71
01 Andalucía,Servicios,Gastos en transporte,2019,3.25
01 Andalucía,Servicios,Gastos en transporte,2018,3.39
02 Aragón,Industria,Gastos en transporte,2023,99.52
02 Aragón,Industria,Gastos en transporte,2022,105.24
02 Aragón,Industria,Gastos en transporte,2021,136.68
02 Aragón,Industria,Gastos en transporte,2020,110.53
02 Aragón,Industria,Gastos en transporte,2019,104.94
02 Aragón,Industria,Gastos en transporte,2018,109.99
02 Aragón,Construcción,Gastos en transporte,2023,10.28
02 Aragón,Construcción,Gastos en transporte,2022,3.76
02 Aragón,Construcción,Gastos en transporte,2021,15.5
02 Aragón,Construcción,Gastos en transporte,2020,9.52
02 Aragón,Construcción,Gastos en transporte,2019,20.0
02 Aragón,Construcción,Gastos en transporte,2018,5.97
02 Aragón,Servicios,Gastos en transporte,2023,4.17
02 Aragón,Servicios,Gastos en transporte,2022,7.71
02 Aragón,Servicios,Gastos en transporte,2021,8.43
02 Aragón,Servicios,Gastos en transporte,2020,4.5
02 Aragón,Servicios,Gastos en transporte,2019,29.3
02 Aragón,Servicios,Gastos en transporte,2018,13.14
"03 Asturias, Principado de",Industria,Gastos en transporte,2023,3.3
"03 Asturias, Principado de",Industria,Gastos en transporte,2022,4.32
"03 Asturias, Principado de",Industria,Gastos en transporte,2021,45.53
"03 Asturias, Principado de",Industria,Gastos en transporte,2020,46.54
"03 Asturias, Principado de",Industria,Gastos en transporte,2019,13.66
"03 Asturias, Principado de",Industria,Gastos en transporte,2018,13.85
"03 Asturias, Principado de",Construcción,Gastos en transporte,2023,34.36
"03 Asturias, Principado de",Construcción,Gastos en transporte,2022,2.32
"03 Asturias, Principado de",Construcción,Gastos en transporte,2021,10.25
"03 Asturias, Principado de",Construcción,Gastos en transporte,2020,46.84
"03 Asturias, Principado de",Construcción,Gastos en transporte,2019,89.12
"03 Asturias, Principado de",Construcción,Gastos en transporte,2018,23.02
"03 Asturias, Principado de",Servicios,Gastos en transporte,2023,0.94
"03 Asturias, Principado de",Servicios,Gastos en transporte,2022,0.87
"03 Asturias, Principado de",Servicios,Gastos en transporte,2021,0.46
"03 Asturias, Principado de",Servicios,Gastos en transporte,2020,1.46
"03 Asturias, Principado de",Servicios,Gastos en transporte,2019,2.44
"03 Asturias, Principado de",Servicios,Gastos en transporte,2018,2.08
"04 Balears, Illes",Industria,Gastos en transporte,2023,0.67
"04 Balears, Illes",Industria,Gastos en transporte,2022,0.3
"04 Balears, Illes",Industria,Gastos en transporte,2021,1.51
"04 Balears, Illes",Industria,Gastos en transporte,2020,0.16
"04 Balears, Illes",Industria,Gastos en transporte,2019,0.91
"04 Balears, Illes",Industria,Gastos en transporte,2018,0.54
"04 Balears, Illes",Construcción,Gastos en transporte,2023,0.0
"04 Balears, Illes",Construcción,Gastos en transporte,2022,2.49
"04 Balears, Illes",Construcción,Gastos en transporte,2021,1.72
"04 Balears, Illes",Construcción,Gastos en transporte,2020,0.84
"04 Balears, Illes",Construcción,Gastos en transporte,2019,6.18
"04 Balears, Illes",Construcción,Gastos en transporte,2018,7.1
"04 Balears, Illes",Servicios,Gastos en transporte,2023,2.01
"04 Balears, Illes",Servicios,Gastos en transporte,2022,1.51
"04 Balears, Illes",Servicios,Gastos en transporte,2021,1.77
"04 Balears, Illes",Servicios,Gastos en transporte,2020,1.7
"04 Balears, Illes",Servicios,Gastos en transporte,2019,2.39
"04 Balears, Illes",Servicios,Gastos en transporte,2018,3.05
05 Canarias,Industria,Gastos en transporte,2023,0.42
05 Canarias,Industria,Gastos en transporte,2022,0.63
05 Canarias,Industria,Gastos en transporte,2021,0.66
05 Canarias,Industria,Gastos en transporte,2020,14.16
05 Canarias,Industria,Gastos en transporte,2019,3.12
05 Canarias,Industria,Gastos en transporte,2018,10.33
05 Canarias,Construcción,Gastos en transporte,2023,7.41
05 Canarias,Construcción,Gastos en transporte,2022,6.15
05 Canarias,Construcción,Gastos en transporte,2021,17.62
05 Canarias,Construcción,Gastos en transporte,2020,0.1
05 Canarias,Construcción,Gastos en transporte,2019,4.84
05 Canarias,Construcción,Gastos en transporte,2018,2.02
05 Canarias,Servicios,Gastos en transporte,2023,4.28
05 Canarias,Servicios,Gastos en transporte,2022,2.54
05 Canarias,Servicios,Gastos en transporte,2021,2.41
05 Canarias,Servicios,Gastos en transporte,2020,2.65
05 Canarias,Servicios,Gastos en transporte,2019,3.18
05 Canarias,Servicios,Gastos en transporte,2018,5.87
06 Cantabria,Industria,Gastos en transporte,2023,24.35
06 Cantabria,Industria,Gastos en transporte,2022,15.83
06 Cantabria,Industria,Gastos en transporte,2021,21.17
06 Cantabria,Industria,Gastos en transporte,2020,14.32
06 Cantabria,Industria,Gastos en transporte,2019,18.0
06 Cantabria,Industria,Gastos en transporte,2018,24.52
06 Cantabria,Construcción,Gastos en transporte,2023,12.95
06 Cantabria,Construcción,Gastos en transporte,2022,35.15
06 Cantabria,Construcción,Gastos en transporte,2021,25.86
06 Cantabria,Construcción,Gastos en transporte,2020,40.4
06 Cantabria,Construcción,Gastos en transporte,2019,68.4
06 Cantabria,Construcción,Gastos en transporte,2018,51.34
06 Cantabria,Servicios,Gastos en transporte,2023,1.31
06 Cantabria,Servicios,Gastos en transporte,2022,1.97
06 Cantabria,Servicios,Gastos en transporte,2021,0.49
06 Cantabria,Servicios,Gastos en transporte,2020,0.97
06 Cantabria,Servicios,Gastos en transporte,2019,1.15
06 Cantabria,Servicios,Gastos en transporte,2018,5.92
07 Castilla y León,Industria,Gastos en transporte,2023,48.03
07 Castilla y León,Industria,Gastos en transporte,2022,43.33
07 Castilla y León,Industria,Gastos en transporte,2021,53.1
07 Castilla y León,Industria,Gastos en transporte,2020,50.45
07 Castilla y León,Industria,Gastos en transporte,2019,48.47
07 Castilla y León,Industria,Gastos en transporte,2018,50.65
07 Castilla y León,Construcción,Gastos en transporte,2023,8.39
07 Castilla y León,Construcción,Gastos en transporte,2022,17.72
07 Castilla y León,Construcción,Gastos en transporte,2021,20.73
07 Castilla y León,Construcción,Gastos en transporte,2020,64.17
07 Castilla y León,Construcción,Gastos en transporte,2019,30.73
07 Castilla y León,Construcción,Gastos en transporte,2018,13.7
07 Castilla y León,Servicios,Gastos en transporte,2023,2.77
07 Castilla y León,Servicios,Gastos en transporte,2022,1.2
07 Castilla y León,Servicios,Gastos en transporte,2021,2.25
07 Castilla y León,Servicios,Gastos en transporte,2020,3.05
07 Castilla y León,Servicios,Gastos en transporte,2019,3.97
07 Castilla y León,Servicios,Gastos en transporte,2018,3.0
08 Castilla - La Mancha,Industria,Gastos en transporte,2023,22.14
08 Castilla - La Mancha,Industria,Gastos en transporte,2022,25.54
08 Castilla - La Mancha,Industria,Gastos en transporte,2021,21.21
08 Castilla - La Mancha,Industria,Gastos en transporte,2020,37.51
08 Castilla - La Mancha,Industria,Gastos en transporte,2019,41.53
08 Castilla - La Mancha,Industria,Gastos en transporte,2018,43.6
08 Castilla - La Mancha,Construcción,Gastos en transporte,2023,31.72
08 Castilla - La Mancha,Construcción,Gastos en transporte,2022,5.39
08 Castilla - La Mancha,Construcción,Gastos en transporte,2021,0.32
08 Castilla - La Mancha,Construcción,Gastos en transporte,2020,37.55
08 Castilla - La Mancha,Construcción,Gastos en transporte,2019,28.0
08 Castilla - La Mancha,Construcción,Gastos en transporte,2018,26.57
08 Castilla - La Mancha,Servicios,Gastos en transporte,2023,0.88
08 Castilla - La Mancha,Servicios,Gastos en transporte,2022,2.26
08 Castilla - La Mancha,Servicios,Gastos en transporte,2021,1.86
08 Castilla - La Mancha,Servicios,Gastos en transporte,2020,3.6
08 Castilla - La Mancha,Servicios,Gastos en transporte,2019,5.21
08 Castilla - La Mancha,Servicios,Gastos en transporte,2018,4.34
09 Cataluña,Industria,Gastos en transporte,2023,31.1
