rango edad;comunidad autonoma;sexo;etapa educativa;año;datos

55 - 64 años;Andalucia;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2023;54,41
55 - 64 años;Andalucia;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2022;56,32
55 - 64 años;Andalucia;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2021;56,64
55 - 64 años;Andalucia;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2020;59,27
55 - 64 años;Andalucia;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2019;61,39
55 - 64 años;Andalucia;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2018;61,82

55 - 64 años;Andalucia;AMBOS SEXOS;2ª etapa E. Secundaria;2023;18,99
55 - 64 años;Andalucia;AMBOS SEXOS;2ª etapa E. Secundaria;2022;18,43
55 - 64 años;Andalucia;AMBOS SEXOS;2ª etapa E. Secundaria;2021;19,43
55 - 64 años;Andalucia;AMBOS SEXOS;2ª etapa E. Secundaria;2020;17,95
55 - 64 años;Andalucia;AMBOS SEXOS;2ª etapa E. Secundaria;2019;17,19
55 - 64 años;Andalucia;AMBOS SEXOS;2ª etapa E. Secundaria;2018;16,89

55 - 64 años;Andalucia;AMBOS SEXOS;E. Superior;2023;26,60
55 - 64 años;Andalucia;AMBOS SEXOS;E. Superior;2022;25,25
55 - 64 años;Andalucia;AMBOS SEXOS;E. Superior;2021;23,93
55 - 64 años;Andalucia;AMBOS SEXOS;E. Superior;2020;22,78
55 - 64 años;Andalucia;AMBOS SEXOS;E. Superior;2019;21,42
55 - 64 años;Andalucia;AMBOS SEXOS;E. Superior;2018;21,29

55 - 64 años;Aragon;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2023;41,50
55 - 64 años;Aragon;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2022;44,42
55 - 64 años;Aragon;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2021;44,05
55 - 64 años;Aragon;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2020;48,70
55 - 64 años;Aragon;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2019;49,11
55 - 64 años;Aragon;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2018;48,37

55 - 64 años;Aragon;AMBOS SEXOS;2ª etapa E. Secundaria;2023;24,61
55 - 64 años;Aragon;AMBOS SEXOS;2ª etapa E. Secundaria;2022;23,32
55 - 64 años;Aragon;AMBOS SEXOS;2ª etapa E. Secundaria;2021;25,18
55 - 64 años;Aragon;AMBOS SEXOS;2ª etapa E. Secundaria;2020;24,44
55 - 64 años;Aragon;AMBOS SEXOS;2ª etapa E. Secundaria;2019;24,11
55 - 64 años;Aragon;AMBOS SEXOS;2ª etapa E. Secundaria;2018;25,27

55 - 64 años;Aragon;AMBOS SEXOS;E. Superior;2023;33,89
