Comunidad autónoma;Relación con la actividad en el trimestre actual;Relación con la actividad en el trimestre anterior;Periodo;Total
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2024T2;41.497
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2024T1;41.326,5
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2023T4;41.221,1
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2023T3;41.057,1
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2023T2;40.891,5
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2023T1;40.761,2
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2022T4;40.619,1
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2022T3;40.456
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2022T2;40.277,1
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2022T1;40.116,9
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2021T4;40.016,5
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2021T3;39.942,8
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2021T2;39.887,3
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2021T1;39.857,6
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2020T4;39.635,5
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2020T3;39.595,8
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2020T2;39.563,9
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2020T1;39.520,1
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2019T4;39.427,2
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2019T3;39.322
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2019T2;39.213,1
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2019T1;39.114,7
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2018T4;39.019,5
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2018T3;38.912,4
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2018T2;38.835,4
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2018T1;38.779,8
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2017T4;38.716,6
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2017T3;38.662,7
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2017T2;38.629,1
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2017T1;38.608
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2016T4;38.584,9
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2016T3;38.543,6
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2016T2;38.505,7
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2016T1;38.491,9
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2015T4;38.489,6
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2015T3;38.486,8
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2015T2;38.496,6
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2015T1;38.517,2
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2014T4;38.523,4
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2014T3;38.523,2
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2014T2;38.528,1
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2014T1;38.483,6
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2013T4;38.543,2
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2013T3;38.597,3
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2013T2;38.680,7
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2013T1;38.733,2
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2012T4;38.783,1
Total Nacional;Total (trimestre actual);Total (trimestre anterior);2012T3;38.799,1
