Periodo,Comunidad autónoma,AÑO,Trimestre,Inactivos,Ocupados,Parados,Total Actividad
2018T1,01 Andalucía,2018,T1,2965500.0,2967700.0,975700.0,6908900.0
2018T1,02 Aragón,2018,T1,457300.0,561100.0,73500.0,1091900.0
2018T1,"03 Asturias, Principado de",2018,T1,439500.0,387900.0,68600.0,896000.0
2018T1,"04 Balears, Illes",2018,T1,381800.0,488700.0,103100.0,973600.0
2018T1,05 Canarias,2018,T1,737400.0,879500.0,228400.0,1845300.0
2018T1,06 Cantabria,2018,T1,222700.0,235600.0,33500.0,491800.0
2018T1,07 Castilla y León,2018,T1,940900.0,957900.0,154800.0,2053600.0
2018T1,08 Castilla - La Mancha,2018,T1,692600.0,777200.0,202700.0,1672500.0
2018T1,09 Cataluña,2018,T1,2407700.0,3303300.0,458700.0,6169700.0
2018T1,10 Comunitat Valenciana,2018,T1,1717900.0,1997700.0,413000.0,4128600.0
2018T1,11 Extremadura,2018,T1,403500.0,366700.0,128400.0,898600.0
2018T1,12 Galicia,2018,T1,1098100.0,1050100.0,186500.0,2334700.0
2018T1,"13 Madrid, Comunidad de",2018,T1,1977100.0,2948900.0,456200.0,5382200.0
2018T1,"14 Murcia, Región de",2018,T1,490900.0,573300.0,131000.0,1195200.0
2018T1,"15 Navarra, Comunidad Foral de",2018,T1,219800.0,276100.0,32500.0,528400.0
2018T1,16 País Vasco,2018,T1,797000.0,913300.0,110200.0,1820500.0
2018T1,"17 Rioja, La",2018,T1,108400.0,134900.0,16700.0,260000.0
2018T1,18 Ceuta,2018,T1,26000.0,26500.0,13300.0,65800.0
2018T1,19 Melilla,2018,T1,25400.0,27900.0,9300.0,62600.0
2018T2,01 Andalucía,2018,T2,2968300.0,3032400.0,910300.0,6911000.0
2018T2,02 Aragón,2018,T2,451800.0,577100.0,63900.0,1092800.0
2018T2,"03 Asturias, Principado de",2018,T2,439700.0,394700.0,59500.0,893900.0
2018T2,"04 Balears, Illes",2018,T2,332000.0,574200.0,72500.0,978700.0
2018T2,05 Canarias,2018,T2,744100.0,886600.0,222400.0,1853100.0
2018T2,06 Cantabria,2018,T2,220600.0,239900.0,31400.0,491900.0
2018T2,07 Castilla y León,2018,T2,930500.0,985400.0,134300.0,2050200.0
2018T2,08 Castilla - La Mancha,2018,T2,689800.0,795000.0,187800.0,1672600.0
2018T2,09 Cataluña,2018,T2,2395800.0,3360400.0,432000.0,6188200.0
2018T2,10 Comunitat Valenciana,2018,T2,1697600.0,2051500.0,380300.0,4129400.0
2018T2,11 Extremadura,2018,T2,399000.0,379400.0,118800.0,897200.0
2018T2,12 Galicia,2018,T2,1082700.0,1075800.0,175000.0,2333500.0
2018T2,"13 Madrid, Comunidad de",2018,T2,2009100.0,2987400.0,410300.0,5406800.0
2018T2,"14 Murcia, Región de",2018,T2,484500.0,596100.0,116000.0,1196600.0
