Comunidades_Autonomas,Sector,Tipo_Coste,Periodo,Total
01 Andalucía,Industria,Sueldos y salarios,2023,
01 Andalucía,Industria,Sueldos y salarios,2022,
01 Andalucía,Industria,Sueldos y salarios,2021,
01 Andalucía,Industria,Sueldos y salarios,2020,
01 Andalucía,Industria,Sueldos y salarios,2019,
01 Andalucía,Industria,Sueldos y salarios,2018,
01 Andalucía,Construcción,Sueldos y salarios,2023,
01 Andalucía,Construcción,Sueldos y salarios,2022,
01 Andalucía,Construcción,Sueldos y salarios,2021,
01 Andalucía,Construcción,Sueldos y salarios,2020,
01 Andalucía,Construcción,Sueldos y salarios,2019,
01 Andalucía,Construcción,Sueldos y salarios,2018,
01 Andalucía,Servicios,Sueldos y salarios,2023,
01 Andalucía,Servicios,Sueldos y salarios,2022,
01 Andalucía,Servicios,Sueldos y salarios,2021,
01 Andalucía,Servicios,Sueldos y salarios,2020,
01 Andalucía,Servicios,Sueldos y salarios,2019,
01 Andalucía,Servicios,Sueldos y salarios,2018,
02 Aragón,Industria,Sueldos y salarios,2023,
02 Aragón,Industria,Sueldos y salarios,2022,
02 Aragón,Industria,Sueldos y salarios,2021,
02 Aragón,Industria,Sueldos y salarios,2020,
02 Aragón,Industria,Sueldos y salarios,2019,
02 Aragón,Industria,Sueldos y salarios,2018,
02 Aragón,Construcción,Sueldos y salarios,2023,
02 Aragón,Construcción,Sueldos y salarios,2022,
02 Aragón,Construcción,Sueldos y salarios,2021,
02 Aragón,Construcción,Sueldos y salarios,2020,
02 Aragón,Construcción,Sueldos y salarios,2019,
02 Aragón,Construcción,Sueldos y salarios,2018,
02 Aragón,Servicios,Sueldos y salarios,2023,
02 Aragón,Servicios,Sueldos y salarios,2022,
02 Aragón,Servicios,Sueldos y salarios,2021,
02 Aragón,Servicios,Sueldos y salarios,2020,
02 Aragón,Servicios,Sueldos y salarios,2019,
02 Aragón,Servicios,Sueldos y salarios,2018,
"03 Asturias, Principado de",Industria,Sueldos y salarios,2023,
"03 Asturias, Principado de",Industria,Sueldos y salarios,2022,
"03 Asturias, Principado de",Industria,Sueldos y salarios,2021,
"03 Asturias, Principado de",Industria,Sueldos y salarios,2020,
"03 Asturias, Principado de",Industria,Sueldos y salarios,2019,
"03 Asturias, Principado de",Industria,Sueldos y salarios,2018,
"03 Asturias, Principado de",Construcción,Sueldos y salarios,2023,
"03 Asturias, Principado de",Construcción,Sueldos y salarios,2022,
"03 Asturias, Principado de",Construcción,Sueldos y salarios,2021,
"03 Asturias, Principado de",Construcción,Sueldos y salarios,2020,
"03 Asturias, Principado de",Construcción,Sueldos y salarios,2019,
"03 Asturias, Principado de",Construcción,Sueldos y salarios,2018,
"03 Asturias, Principado de",Servicios,Sueldos y salarios,2023,
"03 Asturias, Principado de",Servicios,Sueldos y salarios,2022,
"03 Asturias, Principado de",Servicios,Sueldos y salarios,2021,
"03 Asturias, Principado de",Servicios,Sueldos y salarios,2020,
"03 Asturias, Principado de",Servicios,Sueldos y salarios,2019,
"03 Asturias, Principado de",Servicios,Sueldos y salarios,2018,
"04 Balears, Illes",Industria,Sueldos y salarios,2023,
"04 Balears, Illes",Industria,Sueldos y salarios,2022,
"04 Balears, Illes",Industria,Sueldos y salarios,2021,
"04 Balears, Illes",Industria,Sueldos y salarios,2020,
"04 Balears, Illes",Industria,Sueldos y salarios,2019,
"04 Balears, Illes",Industria,Sueldos y salarios,2018,
"04 Balears, Illes",Construcción,Sueldos y salarios,2023,
"04 Balears, Illes",Construcción,Sueldos y salarios,2022,
"04 Balears, Illes",Construcción,Sueldos y salarios,2021,
"04 Balears, Illes",Construcción,Sueldos y salarios,2020,
"04 Balears, Illes",Construcción,Sueldos y salarios,2019,
"04 Balears, Illes",Construcción,Sueldos y salarios,2018,
"04 Balears, Illes",Servicios,Sueldos y salarios,2023,
"04 Balears, Illes",Servicios,Sueldos y salarios,2022,
"04 Balears, Illes",Servicios,Sueldos y salarios,2021,
"04 Balears, Illes",Servicios,Sueldos y salarios,2020,
"04 Balears, Illes",Servicios,Sueldos y salarios,2019,
"04 Balears, Illes",Servicios,Sueldos y salarios,2018,
05 Canarias,Industria,Sueldos y salarios,2023,
05 Canarias,Industria,Sueldos y salarios,2022,
05 Canarias,Industria,Sueldos y salarios,2021,
05 Canarias,Industria,Sueldos y salarios,2020,
05 Canarias,Industria,Sueldos y salarios,2019,
05 Canarias,Industria,Sueldos y salarios,2018,
05 Canarias,Construcción,Sueldos y salarios,2023,
05 Canarias,Construcción,Sueldos y salarios,2022,
05 Canarias,Construcción,Sueldos y salarios,2021,
05 Canarias,Construcción,Sueldos y salarios,2020,
05 Canarias,Construcción,Sueldos y salarios,2019,
05 Canarias,Construcción,Sueldos y salarios,2018,
05 Canarias,Servicios,Sueldos y salarios,2023,
05 Canarias,Servicios,Sueldos y salarios,2022,
05 Canarias,Servicios,Sueldos y salarios,2021,
05 Canarias,Servicios,Sueldos y salarios,2020,
05 Canarias,Servicios,Sueldos y salarios,2019,
05 Canarias,Servicios,Sueldos y salarios,2018,
06 Cantabria,Industria,Sueldos y salarios,2023,
06 Cantabria,Industria,Sueldos y salarios,2022,
06 Cantabria,Industria,Sueldos y salarios,2021,
06 Cantabria,Industria,Sueldos y salarios,2020,
06 Cantabria,Industria,Sueldos y salarios,2019,
06 Cantabria,Industria,Sueldos y salarios,2018,
06 Cantabria,Construcción,Sueldos y salarios,2023,
06 Cantabria,Construcción,Sueldos y salarios,2022,
06 Cantabria,Construcción,Sueldos y salarios,2021,
06 Cantabria,Construcción,Sueldos y salarios,2020,
06 Cantabria,Construcción,Sueldos y salarios,2019,
06 Cantabria,Construcción,Sueldos y salarios,2018,
06 Cantabria,Servicios,Sueldos y salarios,2023,
06 Cantabria,Servicios,Sueldos y salarios,2022,
06 Cantabria,Servicios,Sueldos y salarios,2021,
06 Cantabria,Servicios,Sueldos y salarios,2020,
06 Cantabria,Servicios,Sueldos y salarios,2019,
06 Cantabria,Servicios,Sueldos y salarios,2018,
07 Castilla y León,Industria,Sueldos y salarios,2023,
07 Castilla y León,Industria,Sueldos y salarios,2022,
07 Castilla y León,Industria,Sueldos y salarios,2021,
07 Castilla y León,Industria,Sueldos y salarios,2020,
07 Castilla y León,Industria,Sueldos y salarios,2019,
07 Castilla y León,Industria,Sueldos y salarios,2018,
07 Castilla y León,Construcción,Sueldos y salarios,2023,
07 Castilla y León,Construcción,Sueldos y salarios,2022,
07 Castilla y León,Construcción,Sueldos y salarios,2021,
07 Castilla y León,Construcción,Sueldos y salarios,2020,
07 Castilla y León,Construcción,Sueldos y salarios,2019,
07 Castilla y León,Construcción,Sueldos y salarios,2018,
07 Castilla y León,Servicios,Sueldos y salarios,2023,
07 Castilla y León,Servicios,Sueldos y salarios,2022,
07 Castilla y León,Servicios,Sueldos y salarios,2021,
07 Castilla y León,Servicios,Sueldos y salarios,2020,
07 Castilla y León,Servicios,Sueldos y salarios,2019,
07 Castilla y León,Servicios,Sueldos y salarios,2018,
08 Castilla - La Mancha,Industria,Sueldos y salarios,2023,
08 Castilla - La Mancha,Industria,Sueldos y salarios,2022,
08 Castilla - La Mancha,Industria,Sueldos y salarios,2021,
08 Castilla - La Mancha,Industria,Sueldos y salarios,2020,
08 Castilla - La Mancha,Industria,Sueldos y salarios,2019,
08 Castilla - La Mancha,Industria,Sueldos y salarios,2018,
08 Castilla - La Mancha,Construcción,Sueldos y salarios,2023,
08 Castilla - La Mancha,Construcción,Sueldos y salarios,2022,
08 Castilla - La Mancha,Construcción,Sueldos y salarios,2021,
08 Castilla - La Mancha,Construcción,Sueldos y salarios,2020,
08 Castilla - La Mancha,Construcción,Sueldos y salarios,2019,
08 Castilla - La Mancha,Construcción,Sueldos y salarios,2018,
08 Castilla - La Mancha,Servicios,Sueldos y salarios,2023,
08 Castilla - La Mancha,Servicios,Sueldos y salarios,2022,
08 Castilla - La Mancha,Servicios,Sueldos y salarios,2021,
08 Castilla - La Mancha,Servicios,Sueldos y salarios,2020,
08 Castilla - La Mancha,Servicios,Sueldos y salarios,2019,
08 Castilla - La Mancha,Servicios,Sueldos y salarios,2018,
09 Cataluña,Industria,Sueldos y salarios,2023,
09 Cataluña,Industria,Sueldos y salarios,2022,
09 Cataluña,Industria,Sueldos y salarios,2021,
09 Cataluña,Industria,Sueldos y salarios,2020,
09 Cataluña,Industria,Sueldos y salarios,2019,
09 Cataluña,Industria,Sueldos y salarios,2018,
09 Cataluña,Construcción,Sueldos y salarios,2023,
09 Cataluña,Construcción,Sueldos y salarios,2022,
09 Cataluña,Construcción,Sueldos y salarios,2021,
09 Cataluña,Construcción,Sueldos y salarios,2020,
09 Cataluña,Construcción,Sueldos y salarios,2019,
09 Cataluña,Construcción,Sueldos y salarios,2018,
09 Cataluña,Servicios,Sueldos y salarios,2023,
09 Cataluña,Servicios,Sueldos y salarios,2022,
09 Cataluña,Servicios,Sueldos y salarios,2021,
09 Cataluña,Servicios,Sueldos y salarios,2020,
09 Cataluña,Servicios,Sueldos y salarios,2019,
09 Cataluña,Servicios,Sueldos y salarios,2018,
10 Comunitat Valenciana,Industria,Sueldos y salarios,2023,
10 Comunitat Valenciana,Industria,Sueldos y salarios,2022,
10 Comunitat Valenciana,Industria,Sueldos y salarios,2021,
10 Comunitat Valenciana,Industria,Sueldos y salarios,2020,
10 Comunitat Valenciana,Industria,Sueldos y salarios,2019,
10 Comunitat Valenciana,Industria,Sueldos y salarios,2018,
10 Comunitat Valenciana,Construcción,Sueldos y salarios,2023,
10 Comunitat Valenciana,Construcción,Sueldos y salarios,2022,
10 Comunitat Valenciana,Construcción,Sueldos y salarios,2021,
10 Comunitat Valenciana,Construcción,Sueldos y salarios,2020,
10 Comunitat Valenciana,Construcción,Sueldos y salarios,2019,
10 Comunitat Valenciana,Construcción,Sueldos y salarios,2018,
10 Comunitat Valenciana,Servicios,Sueldos y salarios,2023,
10 Comunitat Valenciana,Servicios,Sueldos y salarios,2022,
10 Comunitat Valenciana,Servicios,Sueldos y salarios,2021,
10 Comunitat Valenciana,Servicios,Sueldos y salarios,2020,
10 Comunitat Valenciana,Servicios,Sueldos y salarios,2019,
10 Comunitat Valenciana,Servicios,Sueldos y salarios,2018,
11 Extremadura,Industria,Sueldos y salarios,2023,
11 Extremadura,Industria,Sueldos y salarios,2022,
11 Extremadura,Industria,Sueldos y salarios,2021,
11 Extremadura,Industria,Sueldos y salarios,2020,
11 Extremadura,Industria,Sueldos y salarios,2019,
11 Extremadura,Industria,Sueldos y salarios,2018,
11 Extremadura,Construcción,Sueldos y salarios,2023,
11 Extremadura,Construcción,Sueldos y salarios,2022,
11 Extremadura,Construcción,Sueldos y salarios,2021,
11 Extremadura,Construcción,Sueldos y salarios,2020,
11 Extremadura,Construcción,Sueldos y salarios,2019,
11 Extremadura,Construcción,Sueldos y salarios,2018,
11 Extremadura,Servicios,Sueldos y salarios,2023,
