Comunidades_Autonomas,Sector,Tipo_Coste,Periodo,Total
Andalucía,Industria,Sueldos y salarios,2023,
Andalucía,Industria,Sueldos y salarios,2022,
Andalucía,Industria,Sueldos y salarios,2021,
Andalucía,Industria,Sueldos y salarios,2020,
Andalucía,Industria,Sueldos y salarios,2019,
Andalucía,Industria,Sueldos y salarios,2018,
Andalucía,Construcción,Sueldos y salarios,2023,
Andalucía,Construcción,Sueldos y salarios,2022,
Andalucía,Construcción,Sueldos y salarios,2021,
Andalucía,Construcción,Sueldos y salarios,2020,
Andalucía,Construcción,Sueldos y salarios,2019,
Andalucía,Construcción,Sueldos y salarios,2018,
Andalucía,Servicios,Sueldos y salarios,2023,
Andalucía,Servicios,Sueldos y salarios,2022,
Andalucía,Servicios,Sueldos y salarios,2021,
Andalucía,Servicios,Sueldos y salarios,2020,
Andalucía,Servicios,Sueldos y salarios,2019,
Andalucía,Servicios,Sueldos y salarios,2018,
Aragón,Industria,Sueldos y salarios,2023,
Aragón,Industria,Sueldos y salarios,2022,
Aragón,Industria,Sueldos y salarios,2021,
Aragón,Industria,Sueldos y salarios,2020,
Aragón,Industria,Sueldos y salarios,2019,
Aragón,Industria,Sueldos y salarios,2018,
Aragón,Construcción,Sueldos y salarios,2023,
Aragón,Construcción,Sueldos y salarios,2022,
Aragón,Construcción,Sueldos y salarios,2021,
Aragón,Construcción,Sueldos y salarios,2020,
Aragón,Construcción,Sueldos y salarios,2019,
Aragón,Construcción,Sueldos y salarios,2018,
Aragón,Servicios,Sueldos y salarios,2023,
Aragón,Servicios,Sueldos y salarios,2022,
Aragón,Servicios,Sueldos y salarios,2021,
Aragón,Servicios,Sueldos y salarios,2020,
Aragón,Servicios,Sueldos y salarios,2019,
Aragón,Servicios,Sueldos y salarios,2018,
"Asturias, Principado de",Industria,Sueldos y salarios,2023,
"Asturias, Principado de",Industria,Sueldos y salarios,2022,
"Asturias, Principado de",Industria,Sueldos y salarios,2021,
"Asturias, Principado de",Industria,Sueldos y salarios,2020,
"Asturias, Principado de",Industria,Sueldos y salarios,2019,
"Asturias, Principado de",Industria,Sueldos y salarios,2018,
"Asturias, Principado de",Construcción,Sueldos y salarios,2023,
"Asturias, Principado de",Construcción,Sueldos y salarios,2022,
"Asturias, Principado de",Construcción,Sueldos y salarios,2021,
"Asturias, Principado de",Construcción,Sueldos y salarios,2020,
"Asturias, Principado de",Construcción,Sueldos y salarios,2019,
"Asturias, Principado de",Construcción,Sueldos y salarios,2018,
"Asturias, Principado de",Servicios,Sueldos y salarios,2023,
"Asturias, Principado de",Servicios,Sueldos y salarios,2022,
"Asturias, Principado de",Servicios,Sueldos y salarios,2021,
"Asturias, Principado de",Servicios,Sueldos y salarios,2020,
"Asturias, Principado de",Servicios,Sueldos y salarios,2019,
"Asturias, Principado de",Servicios,Sueldos y salarios,2018,
"Balears, Illes",Industria,Sueldos y salarios,2023,
"Balears, Illes",Industria,Sueldos y salarios,2022,
"Balears, Illes",Industria,Sueldos y salarios,2021,
"Balears, Illes",Industria,Sueldos y salarios,2020,
"Balears, Illes",Industria,Sueldos y salarios,2019,
"Balears, Illes",Industria,Sueldos y salarios,2018,
"Balears, Illes",Construcción,Sueldos y salarios,2023,
"Balears, Illes",Construcción,Sueldos y salarios,2022,
"Balears, Illes",Construcción,Sueldos y salarios,2021,
"Balears, Illes",Construcción,Sueldos y salarios,2020,
"Balears, Illes",Construcción,Sueldos y salarios,2019,
"Balears, Illes",Construcción,Sueldos y salarios,2018,
"Balears, Illes",Servicios,Sueldos y salarios,2023,
"Balears, Illes",Servicios,Sueldos y salarios,2022,
"Balears, Illes",Servicios,Sueldos y salarios,2021,
"Balears, Illes",Servicios,Sueldos y salarios,2020,
"Balears, Illes",Servicios,Sueldos y salarios,2019,
"Balears, Illes",Servicios,Sueldos y salarios,2018,
Canarias,Industria,Sueldos y salarios,2023,
Canarias,Industria,Sueldos y salarios,2022,
Canarias,Industria,Sueldos y salarios,2021,
Canarias,Industria,Sueldos y salarios,2020,
Canarias,Industria,Sueldos y salarios,2019,
Canarias,Industria,Sueldos y salarios,2018,
Canarias,Construcción,Sueldos y salarios,2023,
Canarias,Construcción,Sueldos y salarios,2022,
Canarias,Construcción,Sueldos y salarios,2021,
Canarias,Construcción,Sueldos y salarios,2020,
Canarias,Construcción,Sueldos y salarios,2019,
Canarias,Construcción,Sueldos y salarios,2018,
Canarias,Servicios,Sueldos y salarios,2023,
Canarias,Servicios,Sueldos y salarios,2022,
Canarias,Servicios,Sueldos y salarios,2021,
Canarias,Servicios,Sueldos y salarios,2020,
Canarias,Servicios,Sueldos y salarios,2019,
Canarias,Servicios,Sueldos y salarios,2018,
Cantabria,Industria,Sueldos y salarios,2023,
Cantabria,Industria,Sueldos y salarios,2022,
Cantabria,Industria,Sueldos y salarios,2021,
Cantabria,Industria,Sueldos y salarios,2020,
Cantabria,Industria,Sueldos y salarios,2019,
Cantabria,Industria,Sueldos y salarios,2018,
Cantabria,Construcción,Sueldos y salarios,2023,
Cantabria,Construcción,Sueldos y salarios,2022,
Cantabria,Construcción,Sueldos y salarios,2021,
Cantabria,Construcción,Sueldos y salarios,2020,
Cantabria,Construcción,Sueldos y salarios,2019,
Cantabria,Construcción,Sueldos y salarios,2018,
Cantabria,Servicios,Sueldos y salarios,2023,
Cantabria,Servicios,Sueldos y salarios,2022,
Cantabria,Servicios,Sueldos y salarios,2021,
Cantabria,Servicios,Sueldos y salarios,2020,
Cantabria,Servicios,Sueldos y salarios,2019,
