Comunidad autonoma;Sexo;periodo;Total;;;;;
TOTAL;Hombres;2023;16,03;;;;Hombres;Mujeres
TOTAL;Hombres;2022;16,68;;;Tamaño de la muestra;112,76;70,69
TOTAL;Hombres;2021;16,7;;;;;
TOTAL;Hombres;2020;20,22;;;;;
TOTAL;Hombres;2019;21,39;;;;;
TOTAL;Hombres;2018;21,74;;;;;
TOTAL;Mujeres;2023;11,29;;;;;
TOTAL;Mujeres;2022;11,05;;;;;
TOTAL;Mujeres;2021;9,72;;;;;
TOTAL;Mujeres;2020;11,63;;;;;
TOTAL;Mujeres;2019;12,98;;;;;
TOTAL;Mujeres;2018;14,02;;;;;
Andalucia;Hombres;2023;20,8;;;;;
Andalucia;Hombres;2022;18,75;;;;;
Andalucia;Hombres;2021;20,83;;;;;
Andalucia;Hombres;2020;26,7;;;;;
Andalucia;Hombres;2019;26,07;;;;;
Andalucia;Hombres;2018;26;;;;;
Andalucia;Mujeres;2023;12,6;;;;;
Andalucia;Mujeres;2022;12,04;;;;;
Andalucia;Mujeres;2021;14,31;;;;;
Andalucia;Mujeres;2020;16,77;;;;;
Andalucia;Mujeres;2019;16,94;;;;;
Andalucia;Mujeres;2018;17,64;;;;;
Aragon;Hombres;2023;11,31;;;;;
Aragon;Hombres;2022;15,82;;;;;
Aragon;Hombres;2021;16,49;;;;;
Aragon;Hombres;2020;19,14;;;;;
Aragon;Hombres;2019;20,69;;;;;
Aragon;Hombres;2018;18,11;;;;;
Aragon;Mujeres;2023;10,18;;;;;
Aragon;Mujeres;2022;8,83;;;;;
Aragon;Mujeres;2021;8,86;;;;;
Aragon;Mujeres;2020;9,11;;;;;
Aragon;Mujeres;2019;7,97;;;;;
Aragon;Mujeres;2018;13,18;;;;;
Asturias, Principado de;Hombres;2023;12,54;;;;;
Asturias, Principado de;Hombres;2022;12,6;;;;;
Asturias, Principado de;Hombres;2021;14,67;;;;;
Asturias, Principado de;Hombres;2020;10,95;;;;;
Asturias, Principado de;Hombres;2019;14,75;;;;;
Asturias, Principado de;Hombres;2018;14,77;;;;;
Asturias, Principado de;Mujeres;2023;8,18;;;;;
Asturias, Principado de;Mujeres;2022;11,08;;;;;
Asturias, Principado de;Mujeres;2021;9,56;;;;;
Asturias, Principado de;Mujeres;2020;6,78;;;;;
