Grupo de edad;Comunidad autonoma;Sexo;Nivel de formacion;periodo;Total
25 - 64 años;TOTAL;Hombres;Inferior a 2ª etapa de E. Secundaria;2023;39,16
25 - 64 años;TOTAL;Hombres;Inferior a 2ª etapa de E. Secundaria;2022;39,62
25 - 64 años;TOTAL;Hombres;Inferior a 2ª etapa de E. Secundaria;2021;39,94
25 - 64 años;TOTAL;Hombres;Inferior a 2ª etapa de E. Secundaria;2020;40,23
25 - 64 años;TOTAL;Hombres;Inferior a 2ª etapa de E. Secundaria;2019;41,69
25 - 64 años;TOTAL;Hombres;Inferior a 2ª etapa de E. Secundaria;2018;42,76
25 - 64 años;TOTAL;Hombres;2ª etapa E. Secundaria;2023;22,95
25 - 64 años;TOTAL;Hombres;2ª etapa E. Secundaria;2022;23,28
25 - 64 años;TOTAL;Hombres;2ª etapa E. Secundaria;2021;23,00
25 - 64 años;TOTAL;Hombres;2ª etapa E. Secundaria;2020;23,08
25 - 64 años;TOTAL;Hombres;2ª etapa E. Secundaria;2019;22,48
25 - 64 años;TOTAL;Hombres;2ª etapa E. Secundaria;2018;22,60
25 - 64 años;TOTAL;Hombres;E. Superior;2023;37,89
25 - 64 años;TOTAL;Hombres;E. Superior;2022;37,11
25 - 64 años;TOTAL;Hombres;E. Superior;2021;37,06
25 - 64 años;TOTAL;Hombres;E. Superior;2020;36,69
25 - 64 años;TOTAL;Hombres;E. Superior;2019;35,83
25 - 64 años;TOTAL;Hombres;E. Superior;2018;34,64
25 - 64 años;TOTAL;Mujeres;Inferior a 2ª etapa de E. Secundaria;2023;32,49
25 - 64 años;TOTAL;Mujeres;Inferior a 2ª etapa de E. Secundaria;2022;33,07
25 - 64 años;TOTAL;Mujeres;Inferior a 2ª etapa de E. Secundaria;2021;33,19
25 - 64 años;TOTAL;Mujeres;Inferior a 2ª etapa de E. Secundaria;2020;34,07
25 - 64 años;TOTAL;Mujeres;Inferior a 2ª etapa de E. Secundaria;2019;35,71
25 - 64 años;TOTAL;Mujeres;Inferior a 2ª etapa de E. Secundaria;2018;37,03
25 - 64 años;TOTAL;Mujeres;2ª etapa E. Secundaria;2023;22,53
25 - 64 años;TOTAL;Mujeres;2ª etapa E. Secundaria;2022;22,66
25 - 64 años;TOTAL;Mujeres;2ª etapa E. Secundaria;2021;23,16
25 - 64 años;TOTAL;Mujeres;2ª etapa E. Secundaria;2020;23,27
25 - 64 años;TOTAL;Mujeres;2ª etapa E. Secundaria;2019;22,95
25 - 64 años;TOTAL;Mujeres;2ª etapa E. Secundaria;2018;23,13
25 - 64 años;TOTAL;Mujeres;E. Superior;2023;44,98
25 - 64 años;TOTAL;Mujeres;E. Superior;2022;44,27
25 - 64 años;TOTAL;Mujeres;E. Superior;2021;43,64
25 - 64 años;TOTAL;Mujeres;E. Superior;2020;42,66
25 - 64 años;TOTAL;Mujeres;E. Superior;2019;41,34
25 - 64 años;TOTAL;Mujeres;E. Superior;2018;39,85
25 - 64 años;Andalucia;Hombres;Inferior a 2ª etapa de E. Secundaria;2023;46,03
25 - 64 años;Andalucia;Hombres;Inferior a 2ª etapa de E. Secundaria;2022;47,43
25 - 64 años;Andalucia;Hombres;Inferior a 2ª etapa de E. Secundaria;2021;48,57
25 - 64 años;Andalucia;Hombres;Inferior a 2ª etapa de E. Secundaria;2020;49,77
25 - 64 años;Andalucia;Hombres;Inferior a 2ª etapa de E. Secundaria;2019;50,12
25 - 64 años;Andalucia;Hombres;Inferior a 2ª etapa de E. Secundaria;2018;51,31
25 - 64 años;Andalucia;Hombres;2ª etapa E. Secundaria;2023;21,28
25 - 64 años;Andalucia;Hombres;2ª etapa E. Secundaria;2022;20,91
25 - 64 años;Andalucia;Hombres;2ª etapa E. Secundaria;2021;20,78
25 - 64 años;Andalucia;Hombres;2ª etapa E. Secundaria;2020;20,54
25 - 64 años;Andalucia;Hombres;2ª etapa E. Secundaria;2019;20,96
25 - 64 años;Andalucia;Hombres;2ª etapa E. Secundaria;2018;20,47
25 - 64 años;Andalucia;Hombres;E. Superior;2023;32,69
25 - 64 años;Andalucia;Hombres;E. Superior;2022;31,66
25 - 64 años;Andalucia;Hombres;E. Superior;2021;30,65
25 - 64 años;Andalucia;Hombres;E. Superior;2020;29,69
25 - 64 años;Andalucia;Hombres;E. Superior;2019;28,92
25 - 64 años;Andalucia;Hombres;E. Superior;2018;28,22
25 - 64 años;Andalucia;Mujeres;Inferior a 2ª etapa de E. Secundaria;2023;39,46
25 - 64 años;Andalucia;Mujeres;Inferior a 2ª etapa de E. Secundaria;2022;40,33
25 - 64 años;Andalucia;Mujeres;Inferior a 2ª etapa de E. Secundaria;2021;41,52
25 - 64 años;Andalucia;Mujeres;Inferior a 2ª etapa de E. Secundaria;2020;43,72
25 - 64 años;Andalucia;Mujeres;Inferior a 2ª etapa de E. Secundaria;2019;45,47
25 - 64 años;Andalucia;Mujeres;Inferior a 2ª etapa de E. Secundaria;2018;46,63
25 - 64 años;Andalucia;Mujeres;2ª etapa E. Secundaria;2023;21,63
25 - 64 años;Andalucia;Mujeres;2ª etapa E. Secundaria;2022;21,40
25 - 64 años;Andalucia;Mujeres;2ª etapa E. Secundaria;2021;21,15
