Grupo de edad;Comunidad autónoma;Sexo;Nivel de formación;periodo;Total
25 - 64 años;TOTAL;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2023;35,82
25 - 64 años;TOTAL;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2022;36,34
25 - 64 años;TOTAL;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2021;36,56
25 - 64 años;TOTAL;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2020;37,13
25 - 64 años;TOTAL;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2019;38,69
25 - 64 años;TOTAL;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2018;39,88
25 - 64 años;TOTAL;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2017;40,93
25 - 64 años;TOTAL;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2016;41,73
25 - 64 años;TOTAL;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2015;42,57
25 - 64 años;TOTAL;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2014;43,38
25 - 64 años;TOTAL;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2013;44,55
25 - 64 años;TOTAL;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2012;45,34
25 - 64 años;TOTAL;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2011;45,96
25 - 64 años;TOTAL;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2010;47,13
25 - 64 años;TOTAL;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2009;48,38
25 - 64 años;TOTAL;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2008;48,90
25 - 64 años;TOTAL;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2007;49,36
25 - 64 años;TOTAL;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2006;50,31
25 - 64 años;TOTAL;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2005;51,24
25 - 64 años;TOTAL;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2004;54,64
25 - 64 años;TOTAL;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2003;56,34
25 - 64 años;TOTAL;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2002;57,76
25 - 64 años;TOTAL;AMBOS SEXOS;2ª etapa E. Secundaria;2023;22,74
25 - 64 años;TOTAL;AMBOS SEXOS;2ª etapa E. Secundaria;2022;22,97
25 - 64 años;TOTAL;AMBOS SEXOS;2ª etapa E. Secundaria;2021;23,08
25 - 64 años;TOTAL;AMBOS SEXOS;2ª etapa E. Secundaria;2020;23,18
25 - 64 años;TOTAL;AMBOS SEXOS;2ª etapa E. Secundaria;2019;22,72
25 - 64 años;TOTAL;AMBOS SEXOS;2ª etapa E. Secundaria;2018;22,86
25 - 64 años;TOTAL;AMBOS SEXOS;2ª etapa E. Secundaria;2017;22,72
25 - 64 años;TOTAL;AMBOS SEXOS;2ª etapa E. Secundaria;2016;22,58
25 - 64 años;TOTAL;AMBOS SEXOS;2ª etapa E. Secundaria;2015;22,35
25 - 64 años;TOTAL;AMBOS SEXOS;2ª etapa E. Secundaria;2014;21,94
25 - 64 años;TOTAL;AMBOS SEXOS;2ª etapa E. Secundaria;2013;21,72
25 - 64 años;TOTAL;AMBOS SEXOS;2ª etapa E. Secundaria;2012;22,01
25 - 64 años;TOTAL;AMBOS SEXOS;2ª etapa E. Secundaria;2011;22,12
25 - 64 años;TOTAL;AMBOS SEXOS;2ª etapa E. Secundaria;2010;21,86
25 - 64 años;TOTAL;AMBOS SEXOS;2ª etapa E. Secundaria;2009;21,64
25 - 64 años;TOTAL;AMBOS SEXOS;2ª etapa E. Secundaria;2008;21,58
25 - 64 años;TOTAL;AMBOS SEXOS;2ª etapa E. Secundaria;2007;21,36
25 - 64 años;TOTAL;AMBOS SEXOS;2ª etapa E. Secundaria;2006;20,88
25 - 64 años;TOTAL;AMBOS SEXOS;2ª etapa E. Secundaria;2005;20,24
25 - 64 años;TOTAL;AMBOS SEXOS;2ª etapa E. Secundaria;2004;18,62
25 - 64 años;TOTAL;AMBOS SEXOS;2ª etapa E. Secundaria;2003;18,03
25 - 64 años;TOTAL;AMBOS SEXOS;2ª etapa E. Secundaria;2002;17,32
25 - 64 años;TOTAL;AMBOS SEXOS;E. Superior;2023;41,44
25 - 64 años;TOTAL;AMBOS SEXOS;E. Superior;2022;40,70
25 - 64 años;TOTAL;AMBOS SEXOS;E. Superior;2021;40,36
25 - 64 años;TOTAL;AMBOS SEXOS;E. Superior;2020;39,69
25 - 64 años;TOTAL;AMBOS SEXOS;E. Superior;2019;38,60
25 - 64 años;TOTAL;AMBOS SEXOS;E. Superior;2018;37,25
25 - 64 años;TOTAL;AMBOS SEXOS;E. Superior;2017;36,35
25 - 64 años;TOTAL;AMBOS SEXOS;E. Superior;2016;35,69
25 - 64 años;TOTAL;AMBOS SEXOS;E. Superior;2015;35,08
25 - 64 años;TOTAL;AMBOS SEXOS;E. Superior;2014;34,68
25 - 64 años;TOTAL;AMBOS SEXOS;E. Superior;2013;33,73
25 - 64 años;TOTAL;AMBOS SEXOS;E. Superior;2012;32,65
25 - 64 años;TOTAL;AMBOS SEXOS;E. Superior;2011;31,91
25 - 64 años;TOTAL;AMBOS SEXOS;E. Superior;2010;31,02
25 - 64 años;TOTAL;AMBOS SEXOS;E. Superior;2009;29,99
25 - 64 años;TOTAL;AMBOS SEXOS;E. Superior;2008;29,52
25 - 64 años;TOTAL;AMBOS SEXOS;E. Superior;2007;29,28
25 - 64 años;TOTAL;AMBOS SEXOS;E. Superior;2006;28,81
25 - 64 años;TOTAL;AMBOS SEXOS;E. Superior;2005;28,52
